REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,Himalaya Ride,ATTR,2019-05-20 08:37:00.000,2019-05-20 23:25:00.000,2019-05-21 07:40:16.000,2019-05-20
,Giant Wheel,ATTR,2018-01-14 09:48:00.000,2018-01-14 20:14:00.000,2018-01-15 08:49:30.000,2018-01-14
,Reverse Bungee,ATTR,2020-02-05 08:22:00.000,2020-02-05 19:05:00.000,2020-02-06 08:09:02.000,2020-02-05
,Swing Ride,ATTR,2018-11-16 08:30:00.000,2018-11-17 00:04:00.000,2018-11-17 08:25:58.000,2018-11-16
,Superman Ride,ATTR,2018-04-26 09:34:00.000,2018-04-26 17:28:00.000,2018-04-27 07:59:59.000,2018-04-26
,Swing Ride,ATTR,2019-06-30 08:30:00.000,2019-06-30 22:13:00.000,2019-07-01 07:27:17.000,2019-06-30
,Crazy Bus,ATTR,2018-09-04 09:28:00.000,2018-09-04 18:25:00.000,2018-09-05 08:13:03.000,2018-09-04
Fermeture Opérationnelle,Top Spin,ATTR,2022-05-25 23:59:00.000,2022-05-25 23:59:00.000,2022-05-26 09:08:26.000,2022-05-25
,Circus Train,ATTR,2018-04-17 10:00:00.000,2018-04-17 20:44:00.000,2018-04-18 08:19:53.000,2018-04-17
,Haunted House,ATTR,2019-07-19 09:43:00.000,2019-07-19 21:49:00.000,2019-07-20 09:01:13.000,2019-07-19
,Crazy Bus,ATTR,2020-02-02 08:28:00.000,2020-02-02 18:13:00.000,2020-02-03 07:25:41.000,2020-02-02
Fermeture Réhab,Drop Tower,ATTR,2019-04-11 23:59:00.000,2019-04-11 23:59:00.000,2019-04-12 08:59:16.000,2019-04-11
,Power Tower,ATTR,2019-01-20 08:29:00.000,2019-01-20 18:45:00.000,2019-01-21 07:22:16.000,2019-01-20
,Spiral Slide,ATTR,2019-01-05 08:00:00.000,2019-01-05 18:39:00.000,2019-01-06 07:46:54.000,2019-01-05
,Rapids Ride,ATTR,2020-01-27 10:00:00.000,2020-01-27 17:38:00.000,2020-01-28 07:49:17.000,2020-01-27
,Power Tower,ATTR,2018-02-14 08:49:00.000,2018-02-14 20:04:00.000,2018-02-15 09:19:26.000,2018-02-14
Fermeture Opérationnelle,Inverted Coaster,ATTR,2019-02-17 23:59:00.000,2019-02-17 23:59:00.000,2019-02-18 07:24:22.000,2019-02-17
,Merry Go Round,ATTR,2019-08-13 09:19:00.000,2019-08-13 23:10:00.000,2019-08-14 07:39:43.000,2019-08-13
,Tivoli Gardens,PARK,2019-05-07 10:00:00.000,2019-05-07 19:00:00.000,2019-05-08 07:45:55.000,2019-05-07
,Kiddie Coaster,ATTR,2018-06-28 09:38:00.000,2018-06-28 20:14:00.000,2018-06-29 09:11:40.000,2018-06-28
,Go-Karts,ATTR,2019-10-19 08:30:00.000,2019-10-19 22:00:00.000,2019-10-20 07:55:27.000,2019-10-19
,Gondola,ATTR,2019-01-04 09:00:00.000,2019-01-04 19:40:00.000,2019-01-05 08:10:04.000,2019-01-04
,Top Spin,ATTR,2018-05-15 10:45:00.000,2018-05-15 17:35:00.000,2018-05-16 07:59:49.000,2018-05-15
,Crazy Bus,ATTR,2018-08-19 08:53:00.000,2018-08-19 20:10:00.000,2018-08-20 08:22:53.000,2018-08-19
,Roller Coaster,ATTR,2018-01-15 10:00:00.000,2018-01-15 18:06:00.000,2018-01-16 08:29:15.000,2018-01-15
,Pirate Ship,ATTR,2018-04-13 09:57:00.000,2018-04-13 22:13:00.000,2018-04-14 08:35:13.000,2018-04-13
,Superman Ride,ATTR,2018-07-03 09:25:00.000,2018-07-03 17:34:00.000,2018-07-04 07:37:58.000,2018-07-03
,Monorail,ATTR,2019-08-26 08:30:00.000,2019-08-26 20:00:00.000,2019-08-27 07:46:43.000,2019-08-26
,Drop Tower,ATTR,2018-03-07 08:30:00.000,2018-03-07 19:18:00.000,2018-03-08 08:32:31.000,2018-03-07
,Rapids Ride,ATTR,2018-04-06 10:00:00.000,2018-04-06 20:15:00.000,2018-04-07 09:21:46.000,2018-04-06
,Circus Train,ATTR,2018-04-25 10:00:00.000,2018-04-25 20:44:00.000,2018-04-26 08:20:46.000,2018-04-25
,Roller Coaster,ATTR,2018-06-16 10:00:00.000,2018-06-16 19:48:00.000,2018-06-17 07:37:46.000,2018-06-16
Fermeture Réhab,Merry Go Round,ATTR,2019-02-08 23:59:00.000,2019-02-08 23:59:00.000,2019-02-09 07:24:30.000,2019-02-08
,Haunted House,ATTR,2018-07-15 09:35:00.000,2018-07-15 22:00:00.000,2018-07-16 07:29:52.000,2018-07-15
,Reverse Bungee,ATTR,2019-02-20 08:42:00.000,2019-02-20 19:06:00.000,2019-02-21 08:15:54.000,2019-02-20
,Rapids Ride,ATTR,2018-10-30 10:00:00.000,2018-10-30 17:55:00.000,2018-10-31 07:57:49.000,2018-10-30
,Top Spin,ATTR,2018-12-26 10:45:00.000,2018-12-26 17:35:00.000,2018-12-27 07:34:49.000,2018-12-26
,Circus Train,ATTR,2018-01-21 09:53:00.000,2018-01-21 17:30:00.000,2018-01-22 08:44:49.000,2018-01-21
,Swing Ride,ATTR,2019-08-12 08:30:00.000,2019-08-12 22:17:00.000,2019-08-13 07:46:38.000,2019-08-12
,Drop Tower,ATTR,2022-04-25 08:30:00.000,2022-04-25 22:15:00.000,2022-04-26 10:00:16.000,2022-04-25
,Aeroplane Ride,ATTR,2019-06-12 08:27:00.000,2019-06-12 19:18:00.000,2019-06-13 08:09:33.000,2019-06-12
,Bumper Cars,ATTR,2019-04-09 08:20:00.000,2019-04-09 21:07:00.000,2019-04-10 07:50:47.000,2019-04-09
,Roller Coaster,ATTR,2019-10-17 10:00:00.000,2019-10-17 17:57:00.000,2019-10-18 08:04:57.000,2019-10-17
,Free Fall,ATTR,2019-09-25 10:00:00.000,2019-09-25 18:03:00.000,2019-09-26 07:39:58.000,2019-09-25
,Pirate Ship,ATTR,2018-09-03 09:27:00.000,2018-09-03 21:34:00.000,2018-09-04 08:04:49.000,2018-09-03
,Inverted Coaster,ATTR,2018-02-09 10:00:00.000,2018-02-09 17:00:00.000,2018-02-10 08:21:50.000,2018-02-09
,Bungee Jump,ATTR,2018-12-18 09:39:00.000,2018-12-18 23:34:00.000,2018-12-19 09:46:33.000,2018-12-18
,Rapids Ride,ATTR,2022-04-02 09:30:00.000,2022-04-02 20:09:00.000,2022-04-03 07:57:13.000,2022-04-02
,Oz Theatre,ATTR,2019-05-05 10:51:00.000,2019-05-05 17:15:00.000,2019-05-06 08:09:05.000,2019-05-05
,Merry Go Round,ATTR,2019-07-01 10:00:00.000,2019-07-01 23:12:00.000,2019-07-02 07:49:13.000,2019-07-01
,Skyway,ATTR,2020-01-16 08:30:00.000,2020-01-16 18:36:00.000,2020-01-17 08:23:23.000,2020-01-16
,Himalaya Ride,ATTR,2018-04-22 10:00:00.000,2018-04-22 22:09:00.000,2018-04-23 07:42:55.000,2018-04-22
,Gondola,ATTR,2022-07-03 09:30:00.000,2022-07-03 20:14:00.000,2022-07-04 07:44:20.000,2022-07-03
,Circus Train,ATTR,2018-04-10 10:00:00.000,2018-04-10 20:52:00.000,2018-04-11 08:31:40.000,2018-04-10
,Sling Shot,ATTR,2020-01-17 08:18:00.000,2020-01-17 18:35:00.000,2020-01-18 07:38:29.000,2020-01-17
,Giga Coaster,ATTR,2019-02-08 09:17:00.000,2019-02-08 18:20:00.000,2019-02-09 07:24:28.000,2019-02-08
Fermeture Opérationnelle,Rapids Ride,ATTR,2018-03-07 23:59:00.000,2018-03-07 23:59:00.000,2018-03-08 08:32:32.000,2018-03-07
,PortAventura World,PARK,2019-02-09 10:00:00.000,2019-02-09 20:00:00.000,2019-02-10 07:44:32.000,2019-02-09
,Water Ride,ATTR,2019-04-22 08:30:00.000,2019-04-22 21:19:00.000,2019-04-23 07:23:18.000,2019-04-22
,Go-Karts,ATTR,2018-04-02 08:30:00.000,2018-04-02 22:07:00.000,2018-04-03 07:45:39.000,2018-04-02
,Water Ride,ATTR,2018-03-31 08:30:00.000,2018-03-31 21:14:00.000,2018-04-01 09:29:49.000,2018-03-31
,Aeroplane Ride,ATTR,2020-02-28 08:26:00.000,2020-02-28 19:42:00.000,2020-02-29 08:43:11.000,2020-02-28
,Top Spin,ATTR,2018-05-29 10:45:00.000,2018-05-29 17:35:00.000,2018-05-30 07:33:35.000,2018-05-29
,Oz Theatre,ATTR,2019-11-03 10:55:00.000,2019-11-03 18:04:00.000,2019-11-04 07:18:32.000,2019-11-03
,Go-Karts,ATTR,2022-06-16 08:30:00.000,2022-06-16 23:08:00.000,2022-06-17 09:59:58.000,2022-06-16
,Flying Coaster,ATTR,2019-05-07 09:42:00.000,2019-05-07 22:42:00.000,2019-05-08 07:44:37.000,2019-05-07
,Giga Coaster,ATTR,2018-12-11 09:37:00.000,2018-12-11 19:13:00.000,2018-12-12 07:49:54.000,2018-12-11
,Spiral Slide,ATTR,2019-02-08 08:30:00.000,2019-02-08 18:29:00.000,2019-02-09 07:24:32.000,2019-02-08
,Bumper Cars,ATTR,2018-03-11 08:30:00.000,2018-03-11 20:13:00.000,2018-03-12 07:48:44.000,2018-03-11
,Crazy Dance,ATTR,2018-08-02 09:32:00.000,2018-08-02 23:06:00.000,2018-08-03 07:41:26.000,2018-08-02
,Zipline,ATTR,2018-03-21 08:30:00.000,2018-03-21 20:43:00.000,2018-03-22 09:02:52.000,2018-03-21
,Crazy Dance,ATTR,2018-03-30 09:31:00.000,2018-03-30 21:04:00.000,2018-03-31 08:23:01.000,2018-03-30
,Free Fall,ATTR,2018-06-10 10:00:00.000,2018-06-10 19:50:00.000,2018-06-11 08:04:58.000,2018-06-10
Fermeture Réhab,Bumper Cars,ATTR,2018-05-18 23:59:00.000,2018-05-18 23:59:00.000,2018-05-19 07:46:58.000,2018-05-18
,Superman Ride,ATTR,2019-11-02 08:25:00.000,2019-11-02 17:18:00.000,2019-11-03 08:09:05.000,2019-11-02
,Giga Coaster,ATTR,2018-02-14 10:00:00.000,2018-02-14 19:00:00.000,2018-02-15 09:06:36.000,2018-02-14
,Spinning Coaster,ATTR,2018-11-19 08:32:00.000,2018-11-19 19:08:00.000,2018-11-20 08:24:17.000,2018-11-19
,Bumper Cars,ATTR,2018-07-29 08:30:00.000,2018-07-29 22:07:00.000,2018-07-30 07:20:07.000,2018-07-29
Fermeture Opérationnelle,Inverted Coaster,ATTR,2019-09-01 23:59:00.000,2019-09-01 23:59:00.000,2019-09-02 07:35:37.000,2019-09-01
,Flying Coaster,ATTR,2018-01-31 10:00:00.000,2018-01-31 21:14:00.000,2018-02-01 08:16:29.000,2018-01-31
,Tivoli Gardens,PARK,2018-10-06 08:30:00.000,2018-10-06 09:30:00.000,2018-10-07 08:23:29.000,2018-10-06
,Go-Karts,ATTR,2019-11-20 08:30:00.000,2019-11-20 19:08:00.000,2019-11-21 07:48:00.000,2019-11-20
Fermeture Réhab,Himalaya Ride,ATTR,2022-08-10 23:59:00.000,2022-08-10 23:59:00.000,2022-08-11 07:59:08.000,2022-08-10
,Go-Karts,ATTR,2018-12-12 08:30:00.000,2018-12-12 20:10:00.000,2018-12-13 07:56:49.000,2018-12-12
Fermeture Opérationnelle,Inverted Coaster,ATTR,2019-07-18 23:59:00.000,2019-07-18 23:59:00.000,2019-07-19 08:38:25.000,2019-07-18
,Giga Coaster,ATTR,2019-07-24 09:22:00.000,2019-07-24 22:17:00.000,2019-07-25 09:08:44.000,2019-07-24
,Go-Karts,ATTR,2019-04-05 09:30:00.000,2019-04-05 22:08:00.000,2019-04-06 08:13:24.000,2019-04-05
,PortAventura World,PARK,2019-09-11 10:00:00.000,2019-09-11 21:00:00.000,2019-09-12 09:09:13.000,2019-09-11
,Spiral Slide,ATTR,2018-06-12 08:30:00.000,2018-06-12 20:24:00.000,2018-06-13 07:49:47.000,2018-06-12
,Crazy Bus,ATTR,2019-03-13 08:30:00.000,2019-03-13 23:44:00.000,2019-03-14 07:46:27.000,2019-03-13
,Roller Coaster,ATTR,2018-10-13 10:00:00.000,2018-10-13 17:54:00.000,2018-10-14 08:35:02.000,2018-10-13
,Water Ride,ATTR,2019-08-25 09:48:00.000,2019-08-25 22:16:00.000,2019-08-26 07:48:57.000,2019-08-25
,Tivoli Gardens,PARK,2018-06-13 08:30:00.000,2018-06-13 09:30:00.000,2018-06-14 07:33:52.000,2018-06-13
Fermeture Réhab,Top Spin,ATTR,2020-01-01 23:59:00.000,2020-01-01 23:59:00.000,2020-01-02 08:06:04.000,2020-01-01
Fermeture Réhab,Inverted Coaster,ATTR,2019-11-06 23:59:00.000,2019-11-06 23:59:00.000,2019-11-07 08:10:39.000,2019-11-06
,Giant Wheel,ATTR,2022-07-08 08:26:00.000,2022-07-09 01:43:00.000,2022-07-09 07:56:45.000,2022-07-08
,PortAventura World,PARK,2019-02-25 10:00:00.000,2019-02-25 19:30:00.000,2019-02-26 07:36:49.000,2019-02-25
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-06-15 23:59:00.000,2018-06-15 23:59:00.000,2018-06-16 07:39:20.000,2018-06-15
,Swing Ride,ATTR,2018-01-05 08:00:00.000,2018-01-05 21:30:00.000,2018-01-06 08:54:14.000,2018-01-05
,Giga Coaster,ATTR,2019-09-28 09:14:00.000,2019-09-28 21:19:00.000,2019-09-29 07:52:39.000,2019-09-28
,Water Ride,ATTR,2018-01-18 09:50:00.000,2018-01-18 18:05:00.000,2018-01-19 08:03:20.000,2018-01-18
,Haunted House,ATTR,2018-04-07 09:33:00.000,2018-04-07 20:53:00.000,2018-04-08 08:45:20.000,2018-04-07
,Giant Wheel,ATTR,2018-10-25 10:00:00.000,2018-10-25 22:13:00.000,2018-10-26 08:46:20.000,2018-10-25
,Reverse Bungee,ATTR,2018-10-15 09:30:00.000,2018-10-15 18:00:00.000,2018-10-16 07:38:21.000,2018-10-15
,Water Ride,ATTR,2022-05-16 09:30:00.000,2022-05-16 22:06:00.000,2022-05-17 08:49:55.000,2022-05-16
,PortAventura World,PARK,2019-06-01 10:00:00.000,2019-06-01 23:00:00.000,2019-06-02 07:54:27.000,2019-06-01
,Go-Karts,ATTR,2019-10-25 08:30:00.000,2019-10-25 22:20:00.000,2019-10-26 08:24:54.000,2019-10-25
,Dizzy Dropper,ATTR,2019-06-05 08:30:00.000,2019-06-05 22:07:00.000,2019-06-06 07:42:12.000,2019-06-05
,Go-Karts,ATTR,2019-12-14 08:00:00.000,2019-12-14 22:13:00.000,2019-12-15 08:33:34.000,2019-12-14
,Monorail,ATTR,2019-06-30 08:30:00.000,2019-06-30 20:31:00.000,2019-07-01 07:27:23.000,2019-06-30
,Haunted House,ATTR,2018-12-19 09:35:00.000,2018-12-19 21:26:00.000,2018-12-20 09:47:56.000,2018-12-19
Fermeture Réhab,Inverted Coaster,ATTR,2019-11-10 23:59:00.000,2019-11-10 23:59:00.000,2019-11-11 07:21:51.000,2019-11-10
,Crazy Bus,ATTR,2018-09-08 09:30:00.000,2018-09-08 20:22:00.000,2018-09-09 08:31:04.000,2018-09-08
,Crazy Dance,ATTR,2018-03-18 10:00:00.000,2018-03-18 21:00:00.000,2018-03-19 09:06:11.000,2018-03-18
,Tivoli Gardens,PARK,2018-05-24 10:00:00.000,2018-05-24 19:00:00.000,2018-05-25 07:45:23.000,2018-05-24
Fermeture Réhab,Himalaya Ride,ATTR,2022-05-01 23:59:00.000,2022-05-01 23:59:00.000,2022-05-02 10:51:16.000,2022-05-01
,Spinning Coaster,ATTR,2018-04-05 08:24:00.000,2018-04-05 22:00:00.000,2018-04-06 08:59:27.000,2018-04-05
,Giga Coaster,ATTR,2019-02-13 09:22:00.000,2019-02-13 18:28:00.000,2019-02-14 07:46:51.000,2019-02-13
,Rapids Ride,ATTR,2018-12-02 08:51:00.000,2018-12-02 17:22:00.000,2018-12-03 07:48:00.000,2018-12-02
,Roller Coaster,ATTR,2019-05-11 10:00:00.000,2019-05-11 19:18:00.000,2019-05-12 07:38:10.000,2019-05-11
,PortAventura World,PARK,2022-05-15 09:30:00.000,2022-05-15 23:00:00.000,2022-05-16 07:56:26.000,2022-05-15
,Scooby Doo,ATTR,2019-10-04 08:25:00.000,2019-10-04 18:00:00.000,2019-10-05 07:38:49.000,2019-10-04
Fermeture Réhab,Dizzy Dropper,ATTR,2019-11-11 23:59:00.000,2019-11-11 23:59:00.000,2019-11-12 07:18:13.000,2019-11-11
,Dizzy Dropper,ATTR,2018-11-14 08:30:00.000,2018-11-14 18:18:00.000,2018-11-15 07:38:55.000,2018-11-14
,Dizzy Dropper,ATTR,2018-02-01 08:30:00.000,2018-02-01 18:00:00.000,2018-02-02 08:13:47.000,2018-02-01
,Aeroplane Ride,ATTR,2019-01-18 10:00:00.000,2019-01-18 18:42:00.000,2019-01-19 09:09:26.000,2019-01-18
,Superman Ride,ATTR,2019-03-16 09:18:00.000,2019-03-16 20:19:00.000,2019-03-17 07:47:04.000,2019-03-16
,Aeroplane Ride,ATTR,2022-04-14 08:22:00.000,2022-04-14 20:18:00.000,2022-04-15 07:57:53.000,2022-04-14
,Free Fall,ATTR,2022-06-07 10:00:00.000,2022-06-07 18:08:00.000,2022-06-08 07:54:34.000,2022-06-07
,Giga Coaster,ATTR,2019-06-09 09:45:00.000,2019-06-09 22:18:00.000,2019-06-10 07:53:50.000,2019-06-09
,Monorail,ATTR,2019-06-14 08:30:00.000,2019-06-14 19:41:00.000,2019-06-15 08:24:52.000,2019-06-14
,Himalaya Ride,ATTR,2018-02-10 10:00:00.000,2018-02-10 21:05:00.000,2018-02-11 07:50:46.000,2018-02-10
,Flying Coaster,ATTR,2018-11-22 10:00:00.000,2018-11-22 19:00:00.000,2018-11-23 08:38:26.000,2018-11-22
,Roller Coaster,ATTR,2022-08-11 10:00:00.000,2022-08-11 17:15:00.000,2022-08-12 10:08:06.000,2022-08-11
,Free Fall,ATTR,2018-02-07 10:00:00.000,2018-02-07 17:55:00.000,2018-02-08 08:56:50.000,2018-02-07
,Roller Coaster,ATTR,2019-05-21 10:00:00.000,2019-05-21 19:16:00.000,2019-05-22 07:41:04.000,2019-05-21
,Giant Wheel,ATTR,2018-01-09 10:00:00.000,2018-01-09 19:00:00.000,2018-01-10 06:57:37.000,2018-01-09
,Haunted House,ATTR,2019-04-22 09:45:00.000,2019-04-22 21:01:00.000,2019-04-23 07:23:18.000,2019-04-22
,Flying Coaster,ATTR,2018-08-07 09:57:00.000,2018-08-07 23:10:00.000,2018-08-08 07:35:16.000,2018-08-07
,Drop Tower,ATTR,2020-01-11 08:27:00.000,2020-01-11 23:49:00.000,2020-01-12 08:33:19.000,2020-01-11
Fermeture Réhab,Circus Train,ATTR,2019-10-11 23:59:00.000,2019-10-11 23:59:00.000,2019-10-12 07:37:26.000,2019-10-11
,Bungee Jump,ATTR,2019-12-23 08:31:00.000,2019-12-23 22:04:00.000,2019-12-24 07:27:54.000,2019-12-23
,Log Flume,ATTR,2019-12-25 08:00:00.000,2019-12-25 22:09:00.000,2019-12-26 07:39:46.000,2019-12-25
Fermeture Réhab,Merry Go Round,ATTR,2019-01-17 23:59:00.000,2019-01-17 23:59:00.000,2019-01-18 09:05:42.000,2019-01-17
,Spiral Slide,ATTR,2018-12-29 08:00:00.000,2018-12-29 18:21:00.000,2018-12-30 07:29:47.000,2018-12-29
Fermeture Réhab,Himalaya Ride,ATTR,2022-04-15 23:59:00.000,2022-04-15 23:59:00.000,2022-04-16 08:08:04.000,2022-04-15
,Giant Wheel,ATTR,2020-02-08 08:17:00.000,2020-02-08 20:13:00.000,2020-02-09 08:09:53.000,2020-02-08
,Roller Coaster,ATTR,2019-05-30 10:00:00.000,2019-05-30 19:34:00.000,2019-05-31 07:37:47.000,2019-05-30
,Tivoli Gardens,PARK,2018-09-11 08:30:00.000,2018-09-11 09:30:00.000,2018-09-12 08:18:54.000,2018-09-11
,PortAventura World,PARK,2020-02-02 08:30:00.000,2020-02-02 09:30:00.000,2020-02-03 07:25:45.000,2020-02-02
,Dizzy Dropper,ATTR,2019-05-26 08:30:00.000,2019-05-26 22:19:00.000,2019-05-27 07:41:33.000,2019-05-26
,Go-Karts,ATTR,2019-01-29 08:30:00.000,2019-01-29 19:00:00.000,2019-01-30 07:40:19.000,2019-01-29
,Crazy Dance,ATTR,2019-03-05 09:30:00.000,2019-03-05 19:00:00.000,2019-03-06 07:41:34.000,2019-03-05
,Reverse Bungee,ATTR,2022-08-13 09:02:00.000,2022-08-13 21:20:00.000,2022-08-14 07:30:50.000,2022-08-13
,Superman Ride,ATTR,2018-03-04 09:23:00.000,2018-03-04 17:18:00.000,2018-03-05 08:01:35.000,2018-03-04
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-18 23:59:00.000,2018-05-18 23:59:00.000,2018-05-19 07:46:54.000,2018-05-18
,Tivoli Gardens,PARK,2022-06-15 09:30:00.000,2022-06-15 19:00:00.000,2022-06-16 08:09:53.000,2022-06-15
,Haunted House,ATTR,2020-01-29 10:00:00.000,2020-01-29 17:20:00.000,2020-01-30 08:06:59.000,2020-01-29
,PortAventura World,PARK,2022-08-14 08:30:00.000,2022-08-14 09:30:00.000,2022-08-15 07:20:59.000,2022-08-14
,Flying Coaster,ATTR,2019-04-17 09:50:00.000,2019-04-17 22:11:00.000,2019-04-18 07:42:11.000,2019-04-17
,Rapids Ride,ATTR,2019-08-07 09:48:00.000,2019-08-07 21:14:00.000,2019-08-08 07:44:41.000,2019-08-07
,Scooby Doo,ATTR,2019-03-11 08:30:00.000,2019-03-11 19:42:00.000,2019-03-12 08:02:22.000,2019-03-11
Fermeture Opérationnelle,Rapids Ride,ATTR,2018-03-15 23:59:00.000,2018-03-15 23:59:00.000,2018-03-16 07:58:26.000,2018-03-15
,Crazy Bus,ATTR,2018-05-05 09:32:00.000,2018-05-05 20:13:00.000,2018-05-06 07:54:56.000,2018-05-05
,Scooby Doo,ATTR,2018-06-26 08:26:00.000,2018-06-26 19:25:00.000,2018-06-27 07:55:35.000,2018-06-26
,Bungee Jump,ATTR,2018-07-09 10:00:00.000,2018-07-09 23:01:00.000,2018-07-10 08:23:25.000,2018-07-09
,Oz Theatre,ATTR,2018-12-17 10:43:00.000,2018-12-17 17:22:00.000,2018-12-18 07:40:41.000,2018-12-17
,Bungee Jump,ATTR,2022-05-08 09:19:00.000,2022-05-08 23:03:00.000,2022-05-09 09:53:47.000,2022-05-08
,Spinning Coaster,ATTR,2019-03-01 08:42:00.000,2019-03-01 19:45:00.000,2019-03-02 07:54:16.000,2019-03-01
,Zipline,ATTR,2019-05-21 08:30:00.000,2019-05-21 23:03:00.000,2019-05-22 07:41:05.000,2019-05-21
,Superman Ride,ATTR,2019-11-17 08:30:00.000,2019-11-17 17:20:00.000,2019-11-18 07:41:51.000,2019-11-17
,Flying Coaster,ATTR,2019-02-02 10:00:00.000,2019-02-02 20:14:00.000,2019-02-03 08:28:00.000,2019-02-02
,Aeroplane Ride,ATTR,2019-07-16 09:19:00.000,2019-07-16 20:41:00.000,2019-07-17 07:42:34.000,2019-07-16
,Dizzy Dropper,ATTR,2019-02-18 08:30:00.000,2019-02-18 18:19:00.000,2019-02-19 07:46:35.000,2019-02-18
,Reverse Bungee,ATTR,2022-04-29 08:30:00.000,2022-04-29 20:18:00.000,2022-04-30 09:49:19.000,2022-04-29
,Flying Coaster,ATTR,2018-05-13 09:40:00.000,2018-05-13 22:43:00.000,2018-05-14 07:23:47.000,2018-05-13
,Spiral Slide,ATTR,2019-05-09 08:30:00.000,2019-05-09 20:32:00.000,2019-05-10 08:14:17.000,2019-05-09
,Spinning Coaster,ATTR,2018-05-21 08:29:00.000,2018-05-21 23:08:00.000,2018-05-22 08:47:53.000,2018-05-21
Fermeture Réhab,Himalaya Ride,ATTR,2022-06-05 23:59:00.000,2022-06-05 23:59:00.000,2022-06-06 08:15:25.000,2022-06-05
,Zipline,ATTR,2019-05-23 08:27:00.000,2019-05-23 23:06:00.000,2019-05-24 07:43:01.000,2019-05-23
Fermeture Réhab,Swing Ride,ATTR,2018-09-28 23:59:00.000,2018-09-28 23:59:00.000,2018-09-29 08:31:43.000,2018-09-28
,Gondola,ATTR,2019-07-05 09:45:00.000,2019-07-05 19:23:00.000,2019-07-06 07:25:12.000,2019-07-05
,Spiral Slide,ATTR,2018-12-28 08:00:00.000,2018-12-28 18:26:00.000,2018-12-29 07:22:53.000,2018-12-28
,Tivoli Gardens,PARK,2019-07-13 08:30:00.000,2019-07-13 09:30:00.000,2019-07-14 07:18:39.000,2019-07-13
,PortAventura World,PARK,2018-12-02 08:00:00.000,2018-12-02 09:00:00.000,2018-12-03 07:48:08.000,2018-12-02
Fermeture Réhab,Top Spin,ATTR,2019-01-12 23:59:00.000,2019-01-12 23:59:00.000,2019-01-13 08:43:29.000,2019-01-12
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-07-07 23:59:00.000,2018-07-07 23:59:00.000,2018-07-08 08:49:19.000,2018-07-07
,Swing Ride,ATTR,2018-08-14 08:30:00.000,2018-08-14 22:17:00.000,2018-08-15 09:16:24.000,2018-08-14
,Free Fall,ATTR,2019-02-10 10:00:00.000,2019-02-10 18:02:00.000,2019-02-11 07:33:11.000,2019-02-10
,Himalaya Ride,ATTR,2019-01-12 09:45:00.000,2019-01-12 20:10:00.000,2019-01-13 08:43:07.000,2019-01-12
,Sling Shot,ATTR,2019-10-14 08:28:00.000,2019-10-14 18:09:00.000,2019-10-15 07:41:18.000,2019-10-14
,Bumper Cars,ATTR,2019-05-25 08:30:00.000,2019-05-25 22:06:00.000,2019-05-26 07:48:50.000,2019-05-25
,Tivoli Gardens,PARK,2019-12-10 08:30:00.000,2019-12-10 09:30:00.000,2019-12-11 07:42:09.000,2019-12-10
,Power Tower,ATTR,2020-01-16 08:30:00.000,2020-01-16 18:38:00.000,2020-01-17 08:23:25.000,2020-01-16
,Circus Train,ATTR,2019-10-20 10:00:00.000,2019-10-20 18:42:00.000,2019-10-21 07:33:56.000,2019-10-20
,Sling Shot,ATTR,2018-08-09 09:21:00.000,2018-08-09 20:22:00.000,2018-08-10 08:13:58.000,2018-08-09
,Crazy Bus,ATTR,2018-08-14 08:56:00.000,2018-08-14 20:19:00.000,2018-08-15 09:16:32.000,2018-08-14
,Giant Wheel,ATTR,2019-08-08 08:30:00.000,2019-08-08 23:13:00.000,2019-08-09 07:48:52.000,2019-08-08
,Crazy Dance,ATTR,2019-06-10 09:08:00.000,2019-06-10 23:00:00.000,2019-06-11 07:49:44.000,2019-06-10
,Free Fall,ATTR,2019-10-23 10:00:00.000,2019-10-23 18:02:00.000,2019-10-24 09:03:37.000,2019-10-23
,Log Flume,ATTR,2022-05-16 08:28:00.000,2022-05-16 23:04:00.000,2022-05-17 08:49:00.000,2022-05-16
,Drop Tower,ATTR,2019-02-06 08:30:00.000,2019-02-06 18:14:00.000,2019-02-07 07:27:43.000,2019-02-06
,Sling Shot,ATTR,2022-06-06 08:21:00.000,2022-06-06 20:10:00.000,2022-06-07 08:09:51.000,2022-06-06
,Bumper Cars,ATTR,2019-02-11 08:30:00.000,2019-02-11 18:18:00.000,2019-02-12 07:53:00.000,2019-02-11
,Gondola,ATTR,2018-09-28 09:39:00.000,2018-09-28 23:39:00.000,2018-09-29 08:31:53.000,2018-09-28
,Flying Coaster,ATTR,2018-09-25 09:54:00.000,2018-09-25 20:30:00.000,2018-09-26 09:05:16.000,2018-09-25
,Crazy Dance,ATTR,2019-08-19 09:20:00.000,2019-08-19 23:09:00.000,2019-08-20 07:48:51.000,2019-08-19
,Roller Coaster,ATTR,2018-09-02 10:00:00.000,2018-09-02 19:32:00.000,2018-09-03 08:18:06.000,2018-09-02
